id,title,overview,genres,cast,director,keywords,rating,vote_count,release_date,imdb_rating,imdb_votes,poster_url,backdrop_url,overview_len,genres_len,keywords_len,cast_len,director_len,combined_text,title_norm,title_tokens,rating_norm
1223601,Sisu: Road to Revenge,"Returning to the house where his family was brutally murdered during the war, ‘the man who refuses to die’ dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues.",Action War,Jorma Tommila Stephen Lang Richard Brake Tommi Korpela Kaspar Velberg Pääru Oja Erki Laur Maksim Demidov Mart Nurk Riho Rosberg,Jalmari Helander,sequel karelia absurd amused,7.521,282,2025-10-21,,,https://image.tmdb.org/t/p/w500/jNsttCWZyPtW66MjhUozBzVsRb7.jpg,https://image.tmdb.org/t/p/w500/yCatt8lmp3oRFEcOZF8KHhsiASQ.jpg,57,2,4,20,2,"Returning to the house where his family was brutally murdered during the war, ‘the man who refuses to die’ dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues. Action War sequel karelia absurd amused Jorma Tommila Stephen Lang Richard Brake Tommi Korpela Kaspar Velberg Pääru Oja Erki Laur Maksim Demidov Mart Nurk Riho Rosberg Jalmari Helander",sisu: road to revenge,"['sisu:', 'road', 'to', 'revenge']",0.7123686337914308
1013446,Reflection in a Dead Diamond,"When the mysterious woman in the room next door disappears, a debonair 70-year-old ex-spy living in a luxury hotel on the Côte d'Azur is confronted by the demons and darlings of a lurid past in which moviemaking, memories and madness collide.",Action Thriller Mystery,Fabio Testi Yannick Renier Koen De Bouw Maria de Medeiros Thi-Mai Nguyen Céline Camara Kézia Quental Manon Beuchot Hervé Sogne Sylvia Camarda,Hélène Cattet,,5.9,48,2025-06-25,,,https://image.tmdb.org/t/p/w500/5CdRxBu7jRDHjthkAL8vE0GdKUD.jpg,https://image.tmdb.org/t/p/w500/AePlQ3osZShJmbNj8tzQ3NoMTQF.jpg,41,3,1,22,2,"When the mysterious woman in the room next door disappears, a debonair 70-year-old ex-spy living in a luxury hotel on the Côte d'Azur is confronted by the demons and darlings of a lurid past in which moviemaking, memories and madness collide. Action Thriller Mystery  Fabio Testi Yannick Renier Koen De Bouw Maria de Medeiros Thi-Mai Nguyen Céline Camara Kézia Quental Manon Beuchot Hervé Sogne Sylvia Camarda Hélène Cattet",reflection in a dead diamond,"['reflection', 'in', 'a', 'dead', 'diamond']",0.45028294260307195
1336189,Delivery Run,"A food delivery driver gets caught in a deadly chase in the icy Minnesota wilderness, pursued by a crazed snowplow driver for unknown reasons, facing life-threatening situations and forced to outsmart his relentless pursuer alone.",Action Thriller,Alexander Arnold Liam James Collins Joe Gallina Nadine Higgin Jussi Lampi Joey Palmroos Darren McStay Thom Chacon Jeremiah Crosby Celin El Azizi,Joey Palmroos,winter minnesota wilderness slacker salesman snow pursuit goldfish driver road rage traveling salesman american wilderness woodlands snow plow winter storm ice vehicle car delivery driver,5.5,20,2025-09-10,,,https://image.tmdb.org/t/p/w500/eCA5maHDlZtXNTtiLXenwnEw7tc.jpg,https://image.tmdb.org/t/p/w500/hvut2slhhgJ31UNa9Df7jFfAS0x.jpg,35,2,25,22,2,"A food delivery driver gets caught in a deadly chase in the icy Minnesota wilderness, pursued by a crazed snowplow driver for unknown reasons, facing life-threatening situations and forced to outsmart his relentless pursuer alone. Action Thriller winter minnesota wilderness slacker salesman snow pursuit goldfish driver road rage traveling salesman american wilderness woodlands snow plow winter storm ice vehicle car delivery driver Alexander Arnold Liam James Collins Joe Gallina Nadine Higgin Jussi Lampi Joey Palmroos Darren McStay Thom Chacon Jeremiah Crosby Celin El Azizi Joey Palmroos",delivery run,"['delivery', 'run']",0.38561034761519797
1196067,Worldbreaker,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.",Science Fiction Action,Milla Jovovich Luke Evans Meadow Williams Mila Harris Billie Boulet Kevin Glynn Chris Finlayson Charis Agbonlahor Laura Dee Steven Calvert,Brad Anderson,monster climate change global warming,6.129,32,2025-10-30,,,https://image.tmdb.org/t/p/w500/7K8w6mdrJp0oaSoKWGyjSZ4Zv2z.jpg,https://image.tmdb.org/t/p/w500/4mZ06VpfpAPuaUPn1SEV0brbbxe.jpg,58,3,5,20,2,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe. Science Fiction Action monster climate change global warming Milla Jovovich Luke Evans Meadow Williams Mila Harris Billie Boulet Kevin Glynn Chris Finlayson Charis Agbonlahor Laura Dee Steven Calvert Brad Anderson",worldbreaker,['worldbreaker'],0.4873080032336296
1439112,Muzzle: City of Wolves,"LAPD officer Jake Rosser endeavors to lead a peaceful life with his family and retired K-9 officer, Socks. However, tranquility dissolves into chaos when a gang targets them in a brutal attack. Alongside his new K-9 partner Argos, Jake launches into a relentless pursuit of justice, determined to protect his loved ones.",Action Thriller Mystery,Aaron Eckhart Tanya van Graan Karl Thaning Nicole Fortuin Adrian Collins Hakeem Kae-Kazim Bongo Mbutuma Grant Ross Jessica Stanley Lindy Abromowitz,John Stalberg Jr.,police dog lapd,6.814,43,2025-11-13,,,https://image.tmdb.org/t/p/w500/8qTMRmC07XCGidnKQFLbRM3FoDU.jpg,https://image.tmdb.org/t/p/w500/ncI1PlBcANixIkgQSnjsSRz4OyT.jpg,52,3,3,21,3,"LAPD officer Jake Rosser endeavors to lead a peaceful life with his family and retired K-9 officer, Socks. However, tranquility dissolves into chaos when a gang targets them in a brutal attack. Alongside his new K-9 partner Argos, Jake launches into a relentless pursuit of justice, determined to protect his loved ones. Action Thriller Mystery police dog lapd Aaron Eckhart Tanya van Graan Karl Thaning Nicole Fortuin Adrian Collins Hakeem Kae-Kazim Bongo Mbutuma Grant Ross Jessica Stanley Lindy Abromowitz John Stalberg Jr.",muzzle: city of wolves,"['muzzle:', 'city', 'of', 'wolves']",0.5980598221503637
1491902,Bang,"Follows a ruthless hitman who, after narrowly escaping a fatal attempt on his life, betrays his gang in an effort to find forgiveness but ends up becoming a target himself.",Action Thriller,Jack Kesy Peter Weller Tristin Mays Kane Kosugi Steve Bastoni Tofan Pirani Bear Williams Elliott Allison Carlo Natale Toma Morozova,Wych Kaosayananda,hitman,6.306,18,2025-07-11,,,https://image.tmdb.org/t/p/w500/8SUzKOqe2ectvhYdSnR7Vq2F3n1.jpg,https://image.tmdb.org/t/p/w500/x3s2lEGNguUnQ5YH3Goq7Ud7Lcn.jpg,30,2,1,20,2,"Follows a ruthless hitman who, after narrowly escaping a fatal attempt on his life, betrays his gang in an effort to find forgiveness but ends up becoming a target himself. Action Thriller hitman Jack Kesy Peter Weller Tristin Mays Kane Kosugi Steve Bastoni Tofan Pirani Bear Williams Elliott Allison Carlo Natale Toma Morozova Wych Kaosayananda",bang,['bang'],0.5159256265157639
798645,The Running Man,"Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite — and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall.",Action Thriller Science Fiction,Glen Powell Josh Brolin Colman Domingo Lee Pace Michael Cera Emilia Jones William H. Macy Daniel Ezra Jayme Lawson Katy O'Brian,Edgar Wright,based on novel or book dark comedy survival on the run television network near future malicious depressing mean spirited dystopian future dystopian sci-fi,6.826,743,2025-11-11,,,https://image.tmdb.org/t/p/w500/dKL78O9zxczVgjtNcQ9UkbYLzqX.jpg,https://image.tmdb.org/t/p/w500/aHj7d7wSLqrg5cjAcgHhiGr97Ih.jpg,73,4,23,21,2,"Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite — and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall. Action Thriller Science Fiction based on novel or book dark comedy survival on the run television network near future malicious depressing mean spirited dystopian future dystopian sci-fi Glen Powell Josh Brolin Colman Domingo Lee Pace Michael Cera Emilia Jones William H. Macy Daniel Ezra Jayme Lawson Katy O'Brian Edgar Wright",the running man,"['the', 'running', 'man']",0.5999999999999999
1589891,A Time for Bravery,"A psychoanalyst on community service aids an agent shattered by infidelity; together, they will confront danger and discover second chances.",Comedy Action,Luis Gerardo Méndez Memo Villegas Christian Tappán Verónica Bravo Noé Hernández Fernando Cuautle Santiago Sandoval,Ariel Winograd,,7.931,36,2025-12-18,,,https://image.tmdb.org/t/p/w500/qKKG22O5pFxqglG0oMjWTjQWCNl.jpg,https://image.tmdb.org/t/p/w500/gtuXARxjGdfsGFqEwggBB8zUJza.jpg,20,2,1,15,2,"A psychoanalyst on community service aids an agent shattered by infidelity; together, they will confront danger and discover second chances. Comedy Action  Luis Gerardo Méndez Memo Villegas Christian Tappán Verónica Bravo Noé Hernández Fernando Cuautle Santiago Sandoval Ariel Winograd",a time for bravery,"['a', 'time', 'for', 'bravery']",0.7786580436540015
1419406,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,Action Crime Thriller,Jackie Chan Zhang Zifeng Tony Leung Ka-fai Ci Sha Jun Zhou Zhengjie Wang Ziyi Lang Yueting Li Zhekun Zac Wang,Larry Yang,,6.611,175,2025-08-16,,,https://image.tmdb.org/t/p/w500/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,https://image.tmdb.org/t/p/w500/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,20,3,1,20,2,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves. Action Crime Thriller  Jackie Chan Zhang Zifeng Tony Leung Ka-fai Ci Sha Jun Zhou Zhengjie Wang Ziyi Lang Yueting Li Zhekun Zac Wang Larry Yang,the shadow's edge,"['the', ""shadow's"", 'edge']",0.5652384801940177
76600,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",Action Adventure Science Fiction,Sam Worthington Zoe Saldaña Sigourney Weaver Stephen Lang Kate Winslet Cliff Curtis Joel David Moore CCH Pounder Edie Falco Jemaine Clement,James Cameron,dying and death loss of loved one alien life-form resurrection dysfunctional family sequel alien planet distant future adopted child rebirth family dynamics adopted son stronger villain war stereoscopic film sentimental awestruck hopeful modest,7.608,13273,2022-12-14,7.5,"551,293",https://image.tmdb.org/t/p/w500/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,https://image.tmdb.org/t/p/w500/cd8YDn7M0lfaHhZdU6MvCDxPalP.jpg,50,4,33,21,2,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure. Action Adventure Science Fiction dying and death loss of loved one alien life-form resurrection dysfunctional family sequel alien planet distant future adopted child rebirth family dynamics adopted son stronger villain war stereoscopic film sentimental awestruck hopeful modest Sam Worthington Zoe Saldaña Sigourney Weaver Stephen Lang Kate Winslet Cliff Curtis Joel David Moore CCH Pounder Edie Falco Jemaine Clement James Cameron",avatar: the way of water,"['avatar:', 'the', 'way', 'of', 'water']",0.7264349232012933
